instance,label,mean_lbd,variance_lbd,lbd_trend,fraction_lbd2,mean_clause_len,mean_dec_level,mean_props_per_conflict,conflict_rate,progress_at_k,learnts_per_conflict
002a0330958a14deb23dcc84b5489e8a-traffic_f_unknown.cnf,CONS,7.628,5.80062,0.25,0.0275,13.467,13.1895,279.551,879.507,6.00781e-05,0.999
00aefd1fc30c425075166ca051e57218-barman-pfile10-038.sas.ex.15.cnf,CONS,133.621,65777.9,-57.755,0.1275,410.035,1197.05,2082.85,82.335,0.0115481,0.993
01d142c43f3ce9a8c5ef7a1ecdbb6cba-urquhart3_25bis.shuffled.cnf,CONS,9.835,18.1138,-0.912,0.001,13.2725,27.433,16.7595,58823.5,0.000103072,0.068
02627689047d06fbb642eef14768d751-ps_200_300_70.cnf,CONS,4.5975,14.9245,0.213,0.351,15.7135,936.038,603.105,894.055,3.06413e-11,1
0810eb03d022334fdd1d5a6ad4969d47-gss-18-s100.cnf,AGG,12.7085,30.2815,1.159,0.0675,21.0035,18.1825,17636.4,128.791,0.0251881,0.9785
0823bc5f954c6366702877556f0d3680-linked_list_swap_contents_safety_unwind66.cnf,CONS,1855.11,10276200,237.077,0.3725,2446.02,21344.8,110068,10.8198,0.169647,0.8925
08e151e72fe10402a49463171aa557e8-abw-V-nos6.mtx-w220.cnf,AGG,54.03,7453.4,3.696,0.0525,155.056,16100.9,14147.7,93.1576,0.303147,1
0dc468413b65339fad7e4f981bf2fb1e-reconf20_61_myciel4_2.cnf,CONS,20.411,150.065,0.928,0.0555,50.707,47.8665,204.947,4237.29,0.00269873,0.9965
0e775873f4c4bbc81ff92b87dd3e15e8-grid-strips-grid-y-3.045-NOTKNOWN.cnf,CONS,153.54,317716,26.152,0.0895,2006.91,1428.08,14730.9,114.032,0.199039,0.9935
0e89b0f96c99f1a6aaaf66c3ae805919-SCPC-500-15.cnf,CONS,29.005,589.407,-7.356,0.0005,56.373,62.7965,73.9645,4073.32,4.00802e-06,1
161a73825fb50badeedbf8d12e1e043a-cfi-rigid-z2-0088-03-or_2.cnf,CONS,145.078,18560.1,-38.766,0.035,279.712,312.742,902.386,226.142,4.16905e-09,1
1ebab99edff4c0470c8aa753bb9d3353-summle_X8637_steps8_I1-2-2-4-4-8-25-100.cnf,CONS,11.789,143.278,5.12,0.1345,36.6245,79.794,2307.65,994.53,0.192898,1
2551afad6b364a7225cdd1b9fa82f7c0-worker_500_500_500_0.35.cnf,AGG,990.272,1802220,-1308.26,0,2321.8,50060.2,775.838,172.25,1.26455e-10,1
2748e075d4b636ef260271a35302049b-cfi-rigid-t2-0048-01-or_3.cnf,CONS,59.3375,7480.85,0.175,0.054,247.512,364.95,436.396,295.072,2.09342e-08,1
285cb2c9735ac73cad999fba3d669382-summle_X8634_steps8_I1-2-2-4-4-8-25-100.cnf,AGG,10.285,106.263,3.138,0.171,30.905,61.611,2009.58,1185.54,0.193273,0.9995
2c0379771c5313567ea9e230438f203f-reconf20_320_hc-square-2_1.cnf,CONS,18.4625,283.74,-2.521,0.0565,44.797,1184.76,9356.02,141.303,0.000148289,0.9935
3159a02d096424aab6295c76360633a9-SCPC-500-10.cnf,CONS,27.777,458.623,-5.994,0.001,55.305,63.1595,71.901,4246.28,4.00802e-06,1
351746fa3de2464c903c85e726cfed55-linked_list_swap_contents_safety_unwind67.cnf,AGG,1547.75,9802020,1139.92,0.3655,2524.91,21705.2,131972,8.58443,0.170955,0.943
3d2a6e5c2f8f58dee79fd50444009625-cfi-rigid-z2-0088-03-or_2_shuffle_all.cnf,CONS,121.055,17418.8,1.159,0.033,301.065,258.788,1007.41,193.761,6.45703e-05,0.9995
3d2b0088dccf11d1f82c89b7122c26e1-cfi-rigid-z2-0088-01-or_2_shuffle_all.cnf,CONS,117.383,17466.2,49.609,0.0275,265.411,272.99,842.888,196.773,6.45703e-05,0.9995
3fb045f58aaf394165735c39c49fad92-linked_list_swap_contents_safety_unwind56.cnf,CONS,970.13,4071650,1300.89,0.298,1809.39,15748.1,94447.8,13,0.154969,0.9465
3fb297f59ad2dc32fd3f79d61951d8cb-Carry_Bits_Fast_4.cnf.cnf,CONS,8.0925,73.0059,4.303,0.388,20.448,44.2735,537.775,3115.26,0.0473524,0.9095
3ff263696219ca9e301b0a1b345eb9aa-SCPC-500-4.cnf,AGG,31.031,586.993,-4.246,0,57.531,71.8135,70.56,4237.29,4.00802e-06,1
43687a48fb119ca61b47c2fc69a71e7d-manthey_single-ordered-initialized-w42-b8.cnf,CONS,24.026,435.951,14.874,0.055,40.954,59.3555,1041.29,1990.05,0.01312,0.9965
436d00b6d41912e800e9855d08c75139-manol-pipe-f7nidw.cnf,CONS,6.8895,38.7313,4.045,0.2495,16.823,202.181,6385.93,324.992,0.00257382,0.995
4501f9a0e9fab5d5cff7133022b1f780-50bits_11.dimacs.cnf,CONS,8.4565,29.2081,-0.071,0.066,22.751,30.087,63.453,7352.94,0.00598229,0.999
488b147304549670f31653c932684e2c-sin-mitern28.cnf,AGG,9.4685,53.389,2.143,0.166,31.8305,27.132,2035.48,1249.22,0.000159229,1
48e9f29a92930f1b367efc5754cb679b-af-synthesis_stb_50_80_7_sat.cnf,CONS,13.5815,117.048,2.809,0.121,46.3915,55.8955,1173.3,1766.78,2.23635e-08,1
48eacbc152c7710dfd6fe17a8a17199e-SCPC-500-7.cnf,CONS,32.6635,566.641,-12.959,0,60.041,72.942,72.31,4140.79,4.00802e-06,1
49f5d904bb2e762219287d33f5621971-ITC2021_Late_1.xml.cnf,AGG,46.476,1722.02,17.444,0.0025,150.565,916.111,1216.13,1463.06,0.241372,1
5457c05649be6f3bc4f743c5e6086a18-mdp-28-10-sat.cnf,CONS,16.155,16.814,0.922,0,24.919,23.2745,222.348,8620.69,0.0610227,1
5e04f38ff11cee5d75fb98e12f6a14fc-sqrt-mitern172.cnf,CONS,15.7935,75.6769,2.673,0.0625,24.366,26.101,437.904,5037.78,0.000754854,1
5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7.cnf,AGG,5.993,22.701,1.178,0.166,11.3565,170.276,2032.86,83.605,0.00181006,0.9925
5ff92b9fa31963608674761e0d71fce8-sv-comp19_prop-reachsafety.triangular-longer_false-unreach-call.i-witness.cnf,CONS,15.129,107.278,-0.364,0.0475,26.0005,123.359,478.322,4089.98,0.0277606,1
608941b989227d93c62b3a9b4280011b-summle_X8639_steps8_I1-2-2-4-4-8-25-100.cnf,CONS,8.9195,88.834,1.309,0.1825,30.8465,113.822,1900.4,1216.55,0.192898,1
65138afdf7eb054be5131f2b0de84369-satch2ways12u.cnf,AGG,34.617,677.673,-4.44,0.0015,60.011,454.505,920.943,3144.65,6.76791e-09,1
7016d1da3fdfe543de3b95f96a9ffe4c-summle_X8651_steps8_I1-2-2-4-4-8-25-100.cnf,AGG,7.8805,63.5712,0.937,0.178,27.2595,119.242,1778.66,1323.63,0.192898,1
73ef1e87dbb7965ecb558e62dedb3a0c-SCPC-500-8.cnf,CONS,25.439,256.629,-2.616,0.0005,56.974,56.6375,73.6145,4132.23,4.00802e-06,1
7703f7d1901ff09a0f177c52a1a7c107-linked_list_swap_contents_safety_unwind43.cnf,CONS,767.123,2611830,542.166,0.352,1423.51,6763.21,79617.9,17.1133,0.133162,0.949
7adc1ade3384505af00ff8f7be23f5bd-ex175_20.cnf,CONS,11.1945,109.359,-0.611,0.13,21.4585,98.741,6261.9,95.8451,0.0291057,0.998
807133f4461a11e39a390dfcf67a4fc6-summle_X11113_steps8_I1-2-2-4-4-8-25-100.cnf,CONS,8.4165,82.503,0.935,0.173,26.9385,427.012,1908.27,1209.92,0.192898,1
90ec6ff35305fed1d9a87a3ecd87238b-linked_list_swap_contents_safety_unwind48.cnf,CONS,1414.38,7073540,-170.256,0.388,2017.51,11826.8,73220.3,17.2366,0.142148,0.9085
920bbe559da4ea37fd636605316a791c-SCPC-500-19.cnf,AGG,26.026,575.667,-12.45,0.0005,54.3035,57.4755,77.285,4081.63,4.00802e-06,1
9f901378a6feabcc94019a018a70d42b-sin-mitern29.cnf,AGG,7.668,30.5338,0.682,0.168,28.016,22.5095,1231.22,2016.13,0.000222136,1
a0e98fd44b74e6f255ca1e5a20bc01fd-cfi-rigid-d3-0180-02-orig.cnf,CONS,125.989,29814.4,39.128,0.023,520.685,517.287,2411.59,55.5432,9.52628e-10,1
a33d32bb816c0da62c7d946c18286a0d-SCPC-500-2.cnf,CONS,28.594,353.361,-1.814,0,54.861,59.28,79.268,4175.37,4.00802e-06,1
a4bffff28417d6b4d72f7b9122988ba5-reconf10_68_queen15_2.cnf,AGG,77.0425,16162.2,44.197,0.1165,286.984,1278.26,10471.6,159.987,0.00265454,0.9945
a5e0082efb1da4dabaa165c2bda5f85e-linked_list_swap_contents_safety_unwind41.cnf,CONS,422.423,1570050,-152.227,0.431,1019.58,7078.52,72190.5,19.211,0.129505,0.921
a65dfd8b3468d202ff3ba8731018622e-j3037_10_gmto_bm1.cnf,AGG,5.691,30.3265,-1.192,0.2525,11.2515,86.8695,450.197,5319.15,0.0791753,1
a7aac5c83f236fd8b3de3275e3f5499d-edit_distance041_183.cnf,CONS,10.075,119.807,3.278,0.24,19.835,206.373,1057.85,1350.44,1.72725e-09,1
ac6256657058fe65dc7ddaf773ab83bf-SC21_Timetable_C_527_E_71_Cl_35_S_35.cnf,AGG,13.273,592.943,-3.354,0.383,20.355,17836,13691.5,142.552,0.00950267,0.974
b1c44904cf06682f973b60c8282f45e8-mp1-squ_ali_s10x10_c39_bail_SAT.cnf,AGG,13.284,64.6613,-0.394,0.0515,17.6425,31.0295,85.496,19802,2.39256e-06,0.547
b96071f89fa1b1670b8375010b1dd42b-SCPC-500-9.cnf,CONS,24.738,456.974,-3.646,0.0005,55.7325,60.365,65.7585,4484.3,4.00802e-06,1
bb80971144a5423532aea9424dade891-div-mitern174.cnf,CONS,11.1405,39.4468,3.969,0.084,25.9305,22.0015,348.986,5555.56,0.000823711,1
c0df94532b1ca8a705d3af05378f377d-SCPC-500-20.cnf,CONS,28.081,463.361,-6.798,0.001,52.0895,62.427,79.9395,4073.32,4.00802e-06,1
c1b30b4e03c3024ad9d084e29e79aa46-BubbleVsPancakeSort_6_6.cnf,AGG,11.0765,56.0016,0.873,0.1205,18.8555,30.5225,234.272,8928.57,0.145112,1
c98459d6a1763d809729e276b9c4cbbd-linked_list_swap_contents_safety_unwind74.cnf,CONS,1658.69,14193600,-539.712,0.365,2309.59,22689.9,87144.6,12.4349,0.179639,0.918
cac1c09f968ef8654c499156d1292385-SCPC-500-18.cnf,AGG,24.906,414.573,-11.582,0.001,52.615,55.18,76.1795,4016.06,4.00802e-06,1
cb8f9ffb66d9b5ef663e6759be0b5e4e-q_query_3_L200_coli.sat.cnf,AGG,7.12,82.3066,4.224,0.2715,15.405,92.1375,4762.33,317.058,0.199029,0.9905
ccb55d1b802617fcb969e12859d66124-g2-mizh-md5-48-2.cnf,CONS,3.982,9.78968,-0.172,0.4155,7.246,174.614,321.479,3220.61,0.0818185,0.9995
cd1585619fea2f2634525a3663873764-linked_list_swap_contents_safety_unwind55.cnf,CONS,947.734,3115440,1001.12,0.36,1670.39,10334.7,64163.6,18.5321,0.153601,0.919
cd361d33986dccd7f2d86016d6c35241-ecarev-110-4099-22-30-7.cnf,AGG,2.47,5.5181,0.052,0.663,5.714,187.345,547.497,1429.59,0.0488003,0.909
cd36b290c27ed9bafedfb2ca88469f01-mdp-28-12-sat.cnf,CONS,16.403,19.6246,0.722,0.003,27.383,23.8075,226.078,8547.01,0.0610988,1
cd72a64e1b857fd30b9ec831cf462bf1-mp1-21.7.cnf,AGG,4.906,19.6302,1.574,0.1985,6.4495,305.822,98.314,5509.64,0.227319,0.9935
ce32731c73701c2ac2bed5341b6ae3ca-mp1-9_27.cnf,AGG,12.407,70.3124,2.5,0.0265,28.7495,40.2235,72.3355,3710.58,0.574075,1
cfa14a7015b0f7fecd98e898f3c95896-velev-vliw-sat-4.0-b8.cnf,AGG,23.768,427.243,3.882,0.0645,61.5285,4907.82,10285.6,88.6368,1.15482e-05,1
d0ee45ac97c6b5cc63a528f46a5797aa-linked_list_swap_contents_safety_unwind44.cnf,CONS,1461.18,4946540,204.169,0.274,2055.9,8981.84,77527.6,16.8859,0.134969,0.916
d3c07914f3ebb42906b986aa431243af-summle_X8646_steps8_I1-2-2-4-4-8-25-100.cnf,AGG,11.524,117.25,-2.414,0.1695,34.016,64.788,2473.5,976.086,0.193772,0.9985
d6c845a5f92ebc059b3f0ab2f6d395ed-cfi-rigid-z2-0088-02-or_2_shuffle_all.cnf,AGG,168.558,29251.1,198.456,0.03,292.267,294.981,652.277,200.1,4.16905e-09,1
d78819115db81dee343d7777fbc5844f-cfi-rigid-s2-0064-02-or_2.cnf,CONS,46.1135,4414.78,-19.003,0.0565,240.477,202.837,484.695,226.809,1.4903e-08,1
d87714e099c66f0034fb95727fa47ccc-Wallace_Bits_Fast_2.cnf.cnf,CONS,8.3065,67.3526,5.007,0.3685,23.504,38.7395,690.098,2427.18,0.0363205,0.946
d8bb23406e76bf5a4b7a6edba8784a74-Lab-Project-FreeRTOS-Cellular-Library%3ACellular_ATRemoveTrailingWhiteSpaces.cnf,CONS,180.198,171109,-96.278,0.332,478.203,662.275,70711.9,25.6614,0.0855839,0.9885
ddcb0cd9b7bca43c3a5189326ae88aab-linked_list_swap_contents_safety_unwind71.cnf,CONS,484.514,2833310,816.735,0.393,1209.57,35398.1,106733,11.1791,0.176061,0.959
e7c0d40392681b1a55d5d3c826a26766-reconf20_116_le450_25c_1.cnf,CONS,63.1165,15061.9,-22.953,0.232,422.695,1011.79,5672.14,92.7773,0.00124399,0.987
eb659cd21250abdc8c9cec49073c32c6-linked_list_swap_contents_safety_unwind59.cnf,CONS,802.221,5830190,612.995,0.407,1317.05,20172.3,88095.1,13.2703,0.159594,0.9285
fb5cf4ad3c46dd294eb8253218524ba6-cfi-rigid-r2-0072-01-or_3.cnf,CONS,180.627,26705.2,69.09,0.0045,337.878,354.413,885.234,201.979,4.13481e-09,1
20-100-lambda100-14_sat.cnf,AGG,6.388,24.1435,1.136,0.212,11.9385,152.173,751.476,1883.24,0.0554699,0.9645
20-100-lambda100-14_unsat.cnf,AGG,10.226,160.873,5.982,0.21,15.9105,104.485,797.404,1996.01,0.04758,0.994
at-least-two-hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf,AGG,4.9045,21.8154,-0.411,0.4355,12.1765,9569.81,2032.46,708.215,0.000326781,0.9965
at-least-two-maris-s03-gripper11.cnf,AGG,14.1365,369.896,-4.101,0.256,44.6665,317.943,174.748,7326.01,0.0572109,0.996
at-least-two-sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf,AGG,100.901,44542.7,-2.152,0.138,747.054,951.134,3402.84,328.731,0.462734,0.9735
at-least-two-traffic_b_unsat.cnf,AGG,7.6905,8.00771,1.183,0.038,13.6895,265.07,299.559,676.133,2.94515e-09,1
at-least-two-vmpc_28.cnf,CONS,13.1215,83.0807,0.683,0.0835,26.1425,39.5575,137.19,4514.67,1.26595e-05,1
b04_s_unknown_pre.cnf,CONS,10.0325,70.9394,1.215,0.1185,26.104,126.749,1905.87,714.541,0.0140905,1
barman-pfile10-039.sas.ex.15.cnf,CONS,47.736,10941.9,-6.606,0.145,260.012,863.913,2154.86,89.4214,0.0112669,0.9965
barman-pfile10-040.sas.ex.15.cnf,CONS,90.7935,16453.8,81.067,0.1175,294.918,947.09,2112.31,89.3336,0.0120617,0.997
blocks-blocks-36-0.180-SAT.cnf,CONS,54.889,19732.1,18.944,0.1995,648.332,1373.36,16545,78.5484,0.357039,0.8145
blocks-blocks-37-1.120-NOTKNOWN.cnf,CONS,58.4435,66484.1,-65.613,0.2555,586.861,960.247,15847.7,90.7853,0.563834,0.749
E02F17.cnf,CONS,14.049,115.407,3.714,0.1055,43.3675,49.0405,240.81,5347.59,0.105643,0.9995
edit_distance041_182.cnf,CONS,8.623,59.6509,3.05,0.194,15.978,199.793,588.014,1846.72,1.72725e-09,1
edit_distance041_183.cnf,CONS,10.075,119.807,3.278,0.24,19.835,206.373,1057.85,1437.81,1.72725e-09,1
erin2_0x0-379.cnf,CONS,7.761,47.8949,1.192,0.2995,14.8035,41.726,144.638,6920.42,0.100899,0.998
ex175_20.cnf,CONS,11.1945,109.359,-0.611,0.13,21.4585,98.741,6261.9,95.1339,0.0291057,0.998
huck.col.11.cnf,CONS,33.409,118.794,0.964,0,40.3645,54.129,21.6115,9569.38,1.82862e-06,1
IBM_FV_2004_rule_batch_30_SAT_dat.k75.cnf,AGG,5.1035,17.8928,-1.463,0.2985,14.491,91.853,2008.9,838.574,0.047903,0.9955
Kakuro-easy-089-ext.xml.hg_4.cnf,CONS,5.5565,11.8628,-0.463,0.157,11.6015,125.171,1170.18,132.864,0.0041166,0.993
