instance,time_s,conflicts,timed_out,too_fast,too_few_conflicts,kept,reason
002a0330958a14deb23dcc84b5489e8a-traffic_f_unknown.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
004b0f451f7d96f6a572e9e76360f51a-spg_420_280.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
00a62eb89afbf27e1addf8f5c437da9b-ortholatin-7.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
00aefd1fc30c425075166ca051e57218-barman-pfile10-038.sas.ex.15.cnf,141.87,43098,FALSE,FALSE,FALSE,TRUE,kept
0151bedac526ee195bc52e4134cd80e7-ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1579630418.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
01813075a2ddb68ae1fc655ca003437e-sha256__zeroOut_12__freeIn_16__seed_1.cnf,300,664843,TRUE,FALSE,FALSE,TRUE,kept_timeout
01d142c43f3ce9a8c5ef7a1ecdbb6cba-urquhart3_25bis.shuffled.cnf,189.71,10476505,FALSE,FALSE,FALSE,TRUE,kept
0205e0724a8a912dde9ad7dfba2aee0b-003-23-80.cnf,300,997368,TRUE,FALSE,FALSE,TRUE,kept_timeout
02223564bd2f5c20768e63cf28c785e3-mp1-squ_ali_s10x10_c39_abio_SAT.cnf,300,1496156,TRUE,FALSE,FALSE,TRUE,kept_timeout
0240f5bddc39ad2f0a786c811fc434a8-SC21_Timetable_C_542_E_71_Cl_36_S_35.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
024af9416f8c1dad1b4f974757e38d51-8-5-6.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
02627689047d06fbb642eef14768d751-ps_200_300_70.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
0294158664d9ada36bd23fbb652cb823-smtlib-qfbv-aigs-countbits128-tseitin.cnf,300,131161,TRUE,FALSE,FALSE,TRUE,kept_timeout
02c6fe8483e4f4474b7ac9731772535d-ncc_none_7047_6_3_3_0_0_420.cnf,300,25745,TRUE,FALSE,FALSE,TRUE,kept_timeout
02f2343e32f9070f149708d77556b4aa-Kakuro-easy-117-ext.xml.hg_5.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
0398e6b20de133ba8b49c74b67dad7b7-6s133-sc2014.cnf,300,664843,TRUE,FALSE,FALSE,TRUE,kept_timeout
03ba29d5cb38d345357a74a7b5ccd759-20-100-lambda100-49_sat.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
03bb7baaa45980753a0e7050ae44755d-atco_enc3_opt1_03_53.cnf,300,38719,TRUE,FALSE,FALSE,TRUE,kept_timeout
03c44a93577c98119dc498053888937a-ctl_4291_567_1_unsat_pre.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
03fb9af7b390fe9e0739150ca3410cf0-4g_5color_166_100_02.cnf,300,38719,TRUE,FALSE,FALSE,TRUE,kept_timeout
04157f716c1e9606c6a530657bf8f957-Kakuro-easy-125-ext.xml.hg_4.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
0447371bb8a97e8fe5d3cee6de1db766-UTI-20-10p0-sc2009.cnf,300,87372,TRUE,FALSE,FALSE,TRUE,kept_timeout
047c92e7c0a36a23d8107f4313517719-rubikcube701-sc2017.cnf,300,997368,TRUE,FALSE,FALSE,TRUE,kept_timeout
047fbe00ecc60835f1ee9d458bbd7ee8-SAT_H_instances_childsnack_p06.hddl_2.cnf,31.77,293,FALSE,FALSE,TRUE,FALSE,too_few_conflicts
048142b6048cb6c10415e08f68a2c3a3-GP_81_430_13.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
048a70da40ea4908c783b8314be2da97-aes_32_2_keyfind_1.cnf,300,2244338,TRUE,FALSE,FALSE,TRUE,kept_timeout
0616ca6b1e0ae639d12e19ed310963a9-satcoin-genesis-SAT-4.cnf,300,25745,TRUE,FALSE,FALSE,TRUE,kept_timeout
064fe286277f695f42b556ef991036ff-sin_depth_miter_2.cnf,300,17096,TRUE,FALSE,FALSE,TRUE,kept_timeout
072785fd927ff0fd180ce8b9cc00078f-20180321_140826713_p_cnf_320_1120.cnf,300,3366612,TRUE,FALSE,FALSE,TRUE,kept_timeout
07b7859003d84402cbb1ebdc37655d55-6s186_Iter20.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
0810eb03d022334fdd1d5a6ad4969d47-gss-18-s100.cnf,300,25745,TRUE,FALSE,FALSE,TRUE,kept_timeout
0823bc5f954c6366702877556f0d3680-linked_list_swap_contents_safety_unwind66.cnf,300,2077,TRUE,FALSE,FALSE,TRUE,kept_timeout
0842eb01dc00232edc0b26ccb2f19f25-6-4-6-sc2018.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
0855033e761d91ae367e867c5a569f9e-atco_enc1_opt2_10_15.cnf,300,664843,TRUE,FALSE,FALSE,TRUE,kept_timeout
085b8ebc423dcbd70eceaa04229cf5cd-summle_X111102_steps8_I1-2-2-4-4-8-25-100.cnf,300,131161,TRUE,FALSE,FALSE,TRUE,kept_timeout
089456508f74be2d96f4112cc495f80a-Eternity-10-06_c18.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
08991fb6c7c45205df7f2bc2f51fb1d9-bobsmdct_k500.cnf,300,11330,TRUE,FALSE,FALSE,TRUE,kept_timeout
08e151e72fe10402a49463171aa557e8-abw-V-nos6.mtx-w220.cnf,176.63,36744,FALSE,FALSE,FALSE,TRUE,kept
090585dc32a79f2bf6fb61a2c7079682-mdp-28-16-sat.cnf,300,1496156,TRUE,FALSE,FALSE,TRUE,kept_timeout
09d8544494e54bc756438e69567b4ba7-mp1-klieber2017s-0300-034-t12.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
0a20cb72e5b005b8ed09d8a93184604a-j3037_9_gmto_bm1.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
0a3cb69074519646b0f2933ba7ad2d30-aws-encryption-sdk-c%3Aaws_cryptosdk_hdr_write.cnf,300,38719,TRUE,FALSE,FALSE,TRUE,kept_timeout
0a514edbeace21927e52d75f2d4a8efd-ota-for-aws-iot-embedded-sdk%3AparseJSONbyModel.cnf,300,7486,TRUE,FALSE,FALSE,TRUE,kept_timeout
0b4421f6aac81e2dbc87c5b5ddae6511-52bits_12.dimacs.cnf,300,997368,TRUE,FALSE,FALSE,TRUE,kept_timeout
0b495cc867003b7ac112b7c47256228b-h31_large.cnf,300,87372,TRUE,FALSE,FALSE,TRUE,kept_timeout
0c0e6faa4abb622f5bea636ff04d341d-grid-color-12-14-2-cb.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
0c5d7e7aa3dd6024816078d2bdcfc4e3-Carry_Bits_Fast_8.cnf.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
0c75119940f87f2bc1dc3f53aeedc02b-20-100-lambda100-89_sat.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
0d209cb420326994f9c4898eb10228ab-008-80-8.cnf,300,997368,TRUE,FALSE,FALSE,TRUE,kept_timeout
0d4970edf84353e5a5798bca3f7f270e-SAT_H_instances_childsnack_p10.hddl_2.cnf,79.81,161,FALSE,FALSE,TRUE,FALSE,too_few_conflicts
0dc468413b65339fad7e4f981bf2fb1e-reconf20_61_myciel4_2.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
0dcd0ec81c5e8dc13b72d43a4940279b-hantzsche_wendt_unit_147.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
0e775873f4c4bbc81ff92b87dd3e15e8-grid-strips-grid-y-3.045-NOTKNOWN.cnf,300,25745,TRUE,FALSE,FALSE,TRUE,kept_timeout
0e89b0f96c99f1a6aaaf66c3ae805919-SCPC-500-15.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
109aa0f5e177c1efb72f133a6f8c723b-hantzsche_wendt_unit_92.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
114f1b2ffd86e8a176bcbab664415520-bobsmdct_k88.cnf,300,58180,TRUE,FALSE,FALSE,TRUE,kept_timeout
129162378e8ad29b5485a9c53feee4b7-hantzsche_wendt_unit_93.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
13b13b34fe88f093aca06d6d035ee797-Lab-Project-FreeRTOS-Cellular-Library%3ACellular_ATRemovePrefix.cnf,300,4924,TRUE,FALSE,FALSE,TRUE,kept_timeout
14f35ebcab936f66fc9292ff62cf39a7-h31.cnf,300,131161,TRUE,FALSE,FALSE,TRUE,kept_timeout
157c7496c04d3fc63565cd7999dc45a5-Carry_Save_Fast_1.cnf.cnf,300,87372,TRUE,FALSE,FALSE,TRUE,kept_timeout
161a73825fb50badeedbf8d12e1e043a-cfi-rigid-z2-0088-03-or_2.cnf,300,131161,TRUE,FALSE,FALSE,TRUE,kept_timeout
16a0949c23ac67c57c5773403daaca60-coreMQTT%3AMQTT_Connect.cnf,300,25745,TRUE,FALSE,FALSE,TRUE,kept_timeout
1b78438db7da55c2b4c4b8ec6b6cd6c6-soelberg_unit_158.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
1ebab99edff4c0470c8aa753bb9d3353-summle_X8637_steps8_I1-2-2-4-4-8-25-100.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
1fabadca67bfeada7086035761b88b33-sum_of_three_cubes_165_unknown_representation.cnf,300,38719,TRUE,FALSE,FALSE,TRUE,kept_timeout
1fee9f154615842029ec63d8520f4b4e-GP_300_250_15.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
20840b5020649385e3f8f4965de7a123-hantzsche_wendt_unit_83.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
23e61c50ee2ac5cad1d337572abdebcf-aws-encryption-sdk-c%3Aaws_cryptosdk_priv_hdr_parse_edks.cnf,300,3216,TRUE,FALSE,FALSE,TRUE,kept_timeout
24af39156d1daa122e5928d9aba11847-GP_100_948_33.cnf,300,25745,TRUE,FALSE,FALSE,TRUE,kept_timeout
2551afad6b364a7225cdd1b9fa82f7c0-worker_500_500_500_0.35.cnf,147.37,45500,FALSE,FALSE,FALSE,TRUE,kept
26342c62148962a09872831b7cef8aae-div-mitern165.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
26f8332e50a4ba5c371852e3737a3002-mdp-28-11-unsat.cnf,300,1496156,TRUE,FALSE,FALSE,TRUE,kept_timeout
2748e075d4b636ef260271a35302049b-cfi-rigid-t2-0048-01-or_3.cnf,300,87372,TRUE,FALSE,FALSE,TRUE,kept_timeout
27d9905476897885d29cea2744db9805-coreJSON%3AskipCollection.cnf,300,3216,TRUE,FALSE,FALSE,TRUE,kept_timeout
285cb2c9735ac73cad999fba3d669382-summle_X8634_steps8_I1-2-2-4-4-8-25-100.cnf,300,131161,TRUE,FALSE,FALSE,TRUE,kept_timeout
28b715dd946dba71ddd58a73d9f82c39-pj2005_k80.cnf,300,1318,TRUE,FALSE,TRUE,FALSE,too_few_conflicts
294924aff67e879595e55f15b10a79ef-grid-color-12-14-6-cb.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
2a43c3327fb817d82496449265d6630d-mdp-36-16-unsat.cnf,300,997368,TRUE,FALSE,FALSE,TRUE,kept_timeout
2c0379771c5313567ea9e230438f203f-reconf20_320_hc-square-2_1.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
2c7cb0ff324a42a0699c23317c97a29a-6s320rb1_Iter8.cnf,300,131161,TRUE,FALSE,FALSE,TRUE,kept_timeout
2d01c7744a990469354a3c53cc2727fb-rphp_p95_r95.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
2f9cb22859718ab6c201726a91cfefe1-aws-encryption-sdk-c%3Aaws_cryptosdk_priv_try_gen_key.cnf,300,4924,TRUE,FALSE,FALSE,TRUE,kept_timeout
