instance,label,speedup,time_agg,status_agg,time_cons,status_cons,features_written
009-80-8.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
01-integer-programming-20-30-40.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
01-integer-programming-5-10-100.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
170055892.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
170058143.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
170058440.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
170059081.cnf,AGG,,218.57,SAT,1200,TIMEOUT,True
170059722.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
170104584.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
170105432.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
170153306.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
170154931.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
170222843.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
170223547.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
170225515.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
170225812.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
22930-0426-195.smt2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
22930-0601-11.smt2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
3bitadd_32.cnf.gz.CP3-cnfmiter.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
49-132779.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
49-133045.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
49-133485.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
4g_5color_166_100_02.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
4g_5color_168_100_02.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
4g_5color_170_050_05.cnf,AGG,1.004,176.78,SAT,177.4,SAT,True
4g_5color_170_060_05.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
4g_6color_180_100_02.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
4g_6color_182_100_02.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
4g_6color_366_060_06.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
4g_6color_366_070_06.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
53-129696.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
53-131174.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
53-131220.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
53-131587.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
53-131674.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
58-134003.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
59-129706.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
59-131147.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
60-129673.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
6g_5color_164_100_01.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
6g_5color_166_100_01.cnf,CONS,1.001,570.22,SAT,569.89,SAT,True
6g_5color_170_020_04.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
6g_5color_170_030_04.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
6g_6color_366_040_04.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
6g_6color_366_050_04.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
6s153.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
6s20.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
8-5-6.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
abw-I-ash85.mtx-w24.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
abw-I-ash85.mtx-w25.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
abw-K-dwt__234.mtx-w51.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
abw-K-dwt__234.mtx-w54.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
abw-K-dwt__234.mtx-w55.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
abw-N-bcsstk07.mtx-w35.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
abw-N-bcsstk07.mtx-w38.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
abw-N-bcsstk07.mtx-w44.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
abw-O-impcol_d.mtx-w101.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
abw-Q-494_bus.mtx-w208.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
abw-Q-494_bus.mtx-w242.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
abw-R-dwt__503.mtx-w64.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
abw-V-nos6.mtx-w220.cnf,CONS,1.004,176.55,SAT,175.76,SAT,True
abw-X-can__715.mtx-w103.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
ACG-15-10p1.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
apn-sbox6-cut4-helpbox26.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
atco_enc1_opt2_10_16.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
atco_enc2_opt2_05_9-sc2014.cnf,AGG,1.003,1153.35,SAT,1156.86,SAT,True
b1904P1-8x8c6h7SAT.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
b1904P3-8x8c11h0SAT.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
b2005-p1-12x12c10h7-Ser8-0.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
b2005-p2-14x14c17h9-Ser3-0.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
b2005-p2-14x14c17h9-Ser4-0.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
b2005-p3-14x14c17h9-Ser6-0.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
b2005-p4-12x12c10h7-Ser4-0.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
b2005-p4-14x14c17h9-Ser5-0.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
b2005-p5-14x14c17h9-Ser3-0.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
baseballcover12with24_and2positions.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
baseballcover13with25.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
baseballcover13with25_and1positions.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
baseballcover15with25.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
battleship-24-47-sat.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
battleship-27-54-sat.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
beempgsol5b1.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
bivium-39-200-0s0-0x5fa955de2b4f64d00226837d226c955de4566ce95f660180d7-30.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
bivium-40-200-0s0-0x92fc13b11169afbb2ef11a684d9fe9a19e743cd6aa5ce23fb5-19.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
bv-term-small-rw_1159.smt2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
bv-term-small-rw_1220.smt2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
bv-term-small-rw_206.smt2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
bv-term-small-rw_350.smt2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
bv-term-small-rw_503.smt2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
bv-term-small-rw_848.smt2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
ccp-s8-facto4.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
