instance,label,speedup,time_agg,status_agg,time_cons,status_cons,features_written
combined-crypto1-wff-seed-102-wffvars-500-cryptocplx-31-overlap-2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
combined-crypto1-wff-seed-107-wffvars-500-cryptocplx-31-overlap-2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
combined-crypto1-wff-seed-108-wffvars-500-cryptocplx-31-overlap-2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
combined-crypto1-wff-seed-110-wffvars-500-cryptocplx-31-overlap-2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
combined-crypto1-wff-seed-115-wffvars-500-cryptocplx-31-overlap-2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
combined-crypto1-wff-seed-12-wffvars-450-cryptocplx-40-overlap-2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
combined-crypto1-wff-seed-121-wffvars-500-cryptocplx-31-overlap-2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
combined-crypto1-wff-seed-132-wffvars-500-cryptocplx-31-overlap-2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
combined-crypto1-wff-seed-133-wffvars-500-cryptocplx-31-overlap-2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
combined-crypto1-wff-seed-18-wffvars-450-cryptocplx-40-overlap-2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
combined-crypto1-wff-seed-3-wffvars-450-cryptocplx-40-overlap-2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
combined-crypto1-wff-seed-8-wffvars-450-cryptocplx-40-overlap-2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
course0.2_2018_3-sc2018.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
course0.2_2018_3_5.cnf,CONS,1.0,928.94,SAT,928.94,SAT,True
crafted_n10_d6_c3_num18.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
