instance,label,speedup,time_agg,status_agg,time_cons,status_cons,features_written
preimage_80r_492m_160h_seed_136.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
preimage_80r_493m_160h_seed_249.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
preimage_80r_493m_160h_seed_457.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
preimage_80r_494m_160h_seed_378.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
preimage_80r_495m_160h_seed_379.cnf,CONS,1.002,364.96,SAT,364.3,SAT,True
PRESENT_round_1-32_faultAt_30_fault_injections_10_seed_1579630418.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
prime2209-84.cnf,CONS,1.004,25.71,SAT,25.62,SAT,True
problem_19.smt2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
problem_21.smt2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
problem_23.smt2.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
ps_200_300_70.cnf,CONS,1.0,1105.73,UNSAT,1105.47,UNSAT,True
ps_200_301_70.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
ps_200_305_70.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
ps_200_306_70.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
ps_200_316_70.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
ps_200_317_70.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
ps_200_323_70.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
ps_300_301_30.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
ps_300_311_20.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
ps_300_312_20.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
ps_300_314_20.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
ps_300_322_20.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
QG7a-gensys-ukn009.sat05-3849.reshuffled-07.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
rbcl_xits_08_UNSAT.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
rbsat-v2400c266431gyes6.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
rbsat-v2400c266431gyes7.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
rbsat-v2640c305320g4.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
rbsat-v2640c305320gyes10.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
rbsat-v760c43649g8.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
rook-42-0-1.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
rphp4_090_shuffled.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
SAT_dat.k80.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
schup-l2s-bc56s-1-k391.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
schur-triples-7-60.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
schur-triples-7-90.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
sgen4-unsat-89-1.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
SGI_30_70_20_60_10-dir.shuffled-as.sat03-144.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
sgp_5-6-8.sat05-2669.reshuffled-07.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
simon-mixed-s02bis-05.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
simon03_sat02bis_k2fix_gr_2pinvar_w8.used-as.sat04-349.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
size_4_4_4_i4096_r8.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
size_4_5_5_i000_w31_r9.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
size_4_5_5_i003_w31_r9.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
size_4_5_5_i028_w31_r9.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
size_4_5_5_i031_w31_r9.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
size_4_5_5_i032_w31_r9.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
size_4_5_5_i035_w31_r9.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
size_4_5_5_i037_w31_r9.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
size_5_5_5_i003_r12.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
size_5_5_5_i019_r12.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
size_5_5_5_i041_r12.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
size_5_5_5_i053_r12.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
size_5_5_5_i058_r12.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
size_5_5_5_i059_r12.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
