instance,label,speedup,time_agg,status_agg,time_cons,status_cons,features_written
002a0330958a14deb23dcc84b5489e8a-traffic_f_unknown.cnf,CONS,1.001,1105.23,UNSAT,1103.9,UNSAT,True
004b0f451f7d96f6a572e9e76360f51a-spg_420_280.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
00a62eb89afbf27e1addf8f5c437da9b-ortholatin-7.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
00aefd1fc30c425075166ca051e57218-barman-pfile10-038.sas.ex.15.cnf,CONS,1.002,136.62,UNSAT,136.37,UNSAT,True
0151bedac526ee195bc52e4134cd80e7-ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1579630418.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
01813075a2ddb68ae1fc655ca003437e-sha256__zeroOut_12__freeIn_16__seed_1.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
01d142c43f3ce9a8c5ef7a1ecdbb6cba-urquhart3_25bis.shuffled.cnf,CONS,1.104,104.76,UNSAT,94.88,UNSAT,True
0205e0724a8a912dde9ad7dfba2aee0b-003-23-80.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
02223564bd2f5c20768e63cf28c785e3-mp1-squ_ali_s10x10_c39_abio_SAT.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
0240f5bddc39ad2f0a786c811fc434a8-SC21_Timetable_C_542_E_71_Cl_36_S_35.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
024af9416f8c1dad1b4f974757e38d51-8-5-6.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
02627689047d06fbb642eef14768d751-ps_200_300_70.cnf,CONS,1.0,1130.93,UNSAT,1130.92,UNSAT,True
0294158664d9ada36bd23fbb652cb823-smtlib-qfbv-aigs-countbits128-tseitin.cnf,UNKNOWN,,1200,TIMEOUT,1200,TIMEOUT,False
