baseline_time,confidence,instance,predicted_policy,prediction_correct,status_agg,status_cons,status_none,status_predicted,time_agg,time_cons,time_none,time_predicted,true_label
0,0.5242,b04_s_unknown_pre.cnf,CONS,TRUE,SAT,SAT,SAT,SAT,882.34,807.55,843.14,807.55,CONS
0,0.6167,49f5d904bb2e762219287d33f5621971-ITC2021_Late_1.xml.cnf,AGG,TRUE,SAT,TIMEOUT,SAT,SAT,1189.4,1200,1184.96,1189.4,AGG
0,0.5938,3d2b0088dccf11d1f82c89b7122c26e1-cfi-rigid-z2-0088-01-or_2_shuffle_all.cnf,CONS,TRUE,UNSAT,UNSAT,UNSAT,UNSAT,627.45,666.94,601.98,666.94,CONS
0,0.6316,prime_a20_b20.cnf,AGG,FALSE,TIMEOUT,SAT,TIMEOUT,TIMEOUT,1200,816.43,1200,1200,CONS
0,0.5516,mp1-tri_ali_s11_c35_bail_UNS.cnf,AGG,FALSE,UNSAT,UNSAT,UNSAT,UNSAT,376.72,358.6,344.04,376.72,CONS
0,0.5052,toughsat_factoring_426s.cnf,AGG,FALSE,TIMEOUT,SAT,TIMEOUT,TIMEOUT,1200,159.22,1200,1200,CONS
0,0.542,sp4-33-one-nons-flat-noid.cnf,AGG,TRUE,SAT,SAT,SAT,SAT,76.11,151.93,356.77,76.11,AGG
0,0.535,48e9f29a92930f1b367efc5754cb679b-af-synthesis_stb_50_80_7_sat.cnf,CONS,TRUE,SAT,SAT,SAT,SAT,883.94,883.81,883.02,883.81,CONS
0,0.5173,ex175_20.cnf,CONS,TRUE,SAT,SAT,SAT,SAT,766.89,765.7,770.03,765.7,CONS
0,0.5679,barman-pfile10-039.sas.ex.15.cnf,CONS,TRUE,UNSAT,UNSAT,UNSAT,UNSAT,109.39,109.37,109.78,109.37,CONS
0,0.5735,fermat-33106286870663.cnf,AGG,TRUE,SAT,SAT,SAT,SAT,296.26,469.43,468.83,296.26,AGG
0,0.5587,sp4-33-one-stri-tree-noid.cnf,AGG,FALSE,TIMEOUT,UNSAT,UNSAT,TIMEOUT,1200,411.19,1020.71,1200,CONS
0,0.9715,351746fa3de2464c903c85e726cfed55-linked_list_swap_contents_safety_unwind67.cnf,CONS,FALSE,UNSAT,UNSAT,UNSAT,UNSAT,380.54,380.72,381.15,380.72,AGG
0,0.5424,b1c44904cf06682f973b60c8282f45e8-mp1-squ_ali_s10x10_c39_bail_SAT.cnf,AGG,TRUE,SAT,SAT,SAT,SAT,220.4,253.75,57.62,220.4,AGG
0,0.5247,IBM_FV_2004_rule_batch_30_SAT_dat.k75.cnf,CONS,FALSE,SAT,SAT,SAT,SAT,168.78,168.88,169.07,168.88,AGG
0,0.5094,48eacbc152c7710dfd6fe17a8a17199e-SCPC-500-7.cnf,CONS,TRUE,UNSAT,UNSAT,UNSAT,UNSAT,1114.59,951.6,1083.28,951.6,CONS
0,0.6041,dislog_a11_x11_n21.cnf,AGG,FALSE,SAT,SAT,SAT,SAT,538.98,539.85,538.98,538.98,CONS
0,0.5378,Kakuro-easy-115-ext.xml.hg_5.cnf,CONS,FALSE,SAT,SAT,SAT,SAT,595.47,594.88,595.24,594.88,AGG
0,0.5532,sv-comp19_prop-reachsafety.queue_longer_false-unreach-call.i-witness.cnf,CONS,TRUE,SAT,SAT,SAT,SAT,99.95,99.8,191.25,99.8,CONS
0,0.6782,01d142c43f3ce9a8c5ef7a1ecdbb6cba-urquhart3_25bis.shuffled.cnf,AGG,FALSE,UNSAT,UNSAT,UNSAT,UNSAT,104.31,94.58,185.54,104.31,CONS
0,0.5149,atco_enc2_opt2_05_9-sc2014.cnf,CONS,FALSE,SAT,SAT,SAT,SAT,1040.66,1034.29,1034.84,1034.29,AGG
0,0.5804,spg_200_300.cnf,CONS,TRUE,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,1200,1200,1200,1200,CONS
0,0.5383,Kakuro-easy-126-ext.xml.hg_7.cnf,CONS,TRUE,SAT,SAT,SAT,SAT,396.28,392.55,408.57,392.55,CONS
0,0.5117,5e04f38ff11cee5d75fb98e12f6a14fc-sqrt-mitern172.cnf,CONS,TRUE,TIMEOUT,TIMEOUT,UNSAT,TIMEOUT,1200,1200,1028.81,1200,CONS
